2.386; W; CW 0xB224; AW 0xB080: 0002 0000 0000 0000 
12.371; W; CW 0xB224; AW 0xB080: 0001 0000 0064 0000 
12.498; W; CW 0xB224; AW 0xB080: 0003 0000 000A 0000 
12.592; W; CW 0xB224; AW 0xB080: 0003 0001 000B 0000 
12.672; W; CW 0xB224; AW 0xB080: 0003 0002 003C 0000 
12.784; W; CW 0xB224; AW 0xB080: 0003 0003 000A 0000 
87.363; R; CW 0xB5E0; AW 0xB080: 0FF1 0D0F 0007 0000 00A6 0150 003C 0023 0023 001F 001D 0084 2300 0000 0007 0000 0000 0000 007F 000A 000B 0061 AF01 0000 0002 5102 000D 86CB FF82 003C 000A FE3C ; FE3C; CRC OK;
87.472; R; CW 0xB420; AW 0xB080: 0FF1 0D01 0008 0000 00AA 0000 000A 0000 008C 000D 9B9E 0000 0000 0000 0008 01F2 4A8E 01B5 000A 0000 00A0 000D B202 0000 0000 0000 0008 0042 42FA 01B5 000A 2CED ; 2CED; CRC OK;
87.566; R; CW 0xB440; AW 0xB080: 0FF1 0D02 0004 0000 008C 0000 001C 0000 006E 000D 923B 0000 0000 0000 0005 0180 A9B8 09EE 0008 0000 0082 000D A8FB 0000 0000 0000 0005 01F3 8E09 09EE 0008 751A ; 751A; CRC OK;
87.676; R; CW 0xB460; AW 0xB080: 0FF1 0D03 FEFE 0000 00AC FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE 1391 ; 1391; CRC OK;
87.768; R; CW 0xB480; AW 0xB080: 0FF1 0D04 0009 0000 00AB 0094 0317 003F 0317 0041 0317 001F 0317 FFFB 0317 FFE9 0317 007F 0317 FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE 3400 000A 4441 ; 4441; CRC OK;
87.862; R; CW 0xB4A0; AW 0xB080: 0FF1 0D05 0009 0000 00AB 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0001 0000 0000 0000 0000 0000 0000 0000 9BC4 ; 9BC4; CRC OK;
92.399; R; CW 0xB5E0; AW 0xB080: 0FF1 0D0F 000A 0000 00B1 014B 003C 0023 0023 001F 001D 0080 2300 0000 000A 0000 0000 0000 007F 000A 000B 0061 AF01 0000 0002 5102 000D 86D6 FF81 003C 000A B586 ; B586; CRC OK;
92.475; R; CW 0xB420; AW 0xB080: 0FF1 0D01 0008 0000 00AA 0000 000A 0000 008C 000D 9B9E 0000 0000 0000 0008 01F2 4A8E 01B5 000A 0000 00A0 000D B202 0000 0000 0000 0008 0042 42FA 01B5 000A 2CED ; 2CED; CRC OK;
92.584; R; CW 0xB440; AW 0xB080: 0FF1 0D02 0004 0000 008C 0000 001C 0000 006E 000D 923B 0000 0000 0000 0005 0180 A9B8 09EE 0008 0000 0082 000D A8FB 0000 0000 0000 0005 01F3 8E09 09EE 0008 751A ; 751A; CRC OK;
92.692; R; CW 0xB460; AW 0xB080: 0FF1 0D03 FEFE 0000 00AC FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE 1391 ; 1391; CRC OK;
92.769; R; CW 0xB480; AW 0xB080: 0FF1 0D04 0009 0000 00AB 0094 0317 003F 0317 0041 0317 001F 0317 FFFB 0317 FFE9 0317 007F 0317 FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE 3400 000A 4441 ; 4441; CRC OK;
92.898; R; CW 0xB4A0; AW 0xB080: 0FF1 0D05 0009 0000 00AB 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0001 0000 0000 0000 0000 0000 0000 0000 9BC4 ; 9BC4; CRC OK;
97.375; R; CW 0xB5E0; AW 0xB080: 0FF1 0D0F 000A 0000 00B1 014B 003C 0023 0023 001F 001D 0080 2300 0000 000A 0000 0000 0000 007F 000A 000B 0061 AF01 0000 0002 5102 000D 86D6 FF81 003C 000A B586 ; B586; CRC OK;
97.479; R; CW 0xB420; AW 0xB080: 0FF1 0D01 0008 0000 00AA 0000 000A 0000 008C 000D 9B9E 0000 0000 0000 0008 01F2 4A8E 01B5 000A 0000 00A0 000D B202 0000 0000 0000 0008 0042 42FA 01B5 000A 2CED ; 2CED; CRC OK;
97.583; R; CW 0xB440; AW 0xB080: 0FF1 0D02 000B 0000 00B4 0000 001C 0000 0096 000D BFE6 0000 0000 0000 0004 0000 C1C9 09EE 0007 0000 00AA 000D D5A7 0000 0000 0000 0005 0036 CD82 09EF 0006 EF80 ; EF80; CRC OK;
97.670; R; CW 0xB460; AW 0xB080: 0FF1 0D03 FEFE 0000 00AC FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE 1391 ; 1391; CRC OK;
97.766; R; CW 0xB480; AW 0xB080: 0FF1 0D04 000C 0000 00B5 0094 0317 003F 0317 0041 0317 001F 0317 FFFB 0317 FFE9 0317 007F 0317 0021 0317 FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE 3400 000A 7B6F ; 7B6F; CRC OK;
97.861; R; CW 0xB4A0; AW 0xB080: 0FF1 0D05 0009 0000 00AB 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0001 0000 0000 0000 0000 0000 0000 0000 9BC4 ; 9BC4; CRC OK;
102.365; R; CW 0xB5E0; AW 0xB080: 0FF1 0D0F 000C 0000 00BC 0150 003C 0023 0023 001F 001D 0085 2300 0000 000C 0000 0000 0000 007F 000A 000B 0061 AF01 0000 0002 5102 000D 86E1 FF82 003C 000A ACD8 ; ACD8; CRC OK;
102.473; R; CW 0xB420; AW 0xB080: 0FF1 0D01 0008 0000 00AA 0000 000A 0000 008C 000D 9B9E 0000 0000 0000 0008 01F2 4A8E 01B5 000A 0000 00A0 000D B202 0000 0000 0000 0008 0042 42FA 01B5 000A 2CED ; 2CED; CRC OK;
102.568; R; CW 0xB440; AW 0xB080: 0FF1 0D02 000B 0000 00B4 0000 001C 0000 0096 000D BFE6 0000 0000 0000 0004 0000 C1C9 09EE 0007 0000 00AA 000D D5A7 0000 0000 0000 0005 0036 CD82 09EF 0006 EF80 ; EF80; CRC OK;
