1.568; W; CW 0xEA24; AW 0xE800: 0002 0000 0000 0000 
16.555; W; CW 0xEA24; AW 0xE800: 0001 0000 0000 003C 
16.588; W; CW 0xEA24; AW 0xE800: 0003 0000 0000 000A 
16.620; W; CW 0xEA24; AW 0xE800: 0005 0001 0000 0000 
16.666; W; CW 0xEA24; AW 0xE800: 0003 0001 0000 0015 
16.760; W; CW 0xEA24; AW 0xE800: 0003 0002 0000 000A 
16.854; W; CW 0xEA24; AW 0xE800: 0003 0003 0000 000A 
33.248; R; CW 0xED00; AW 0xE800: 0FF1 0D28 0025 0000 0010 0000 0000 0004 34BC 0000 0000 0000 0000 0001 0000 0005 0000 000A 0000 0009 0000 000F 0000 009A 0000 0050 0000 0218 0000 FEFE FEFE 5AE6 ; 5AE6; CRC OK;
33.343; R; CW 0xED20; AW 0xE800: 0FF1 0D29 0029 0000 0010 0000 0000 0004 3DBC 0000 0000 0000 0000 0001 0000 0003 0000 0009 0000 0007 0000 0006 0000 008D 0000 004F 0000 01CA 0000 FEFE FEFE 9283 ; 9283; CRC OK;
33.452; R; CW 0xED40; AW 0xE800: 0FF1 0D2A 002D 0000 0010 0000 0000 0004 46BC 0000 0000 0000 0000 0001 0000 0004 0000 0009 0000 0007 0000 0006 0000 0066 0000 0018 0000 003C 0000 FEFE FEFE 483F ; 483F; CRC OK;
33.546; R; CW 0xED60; AW 0xE800: 0FF1 0D2B 0026 0000 0010 0000 0000 0004 34BC 0000 0000 0000 0000 0003 0000 0009 0000 000F 0000 0006 0000 0010 0000 010D 0000 0114 0000 02BE 0000 FEFE FEFE A324 ; A324; CRC OK;
33.746; R; CW 0xED80; AW 0xE800: 0FF1 0D2C 002A 0000 0010 0000 0000 0004 3DBC 0000 0000 0000 0000 0003 0000 0009 0000 000B 0000 0005 0000 0013 0000 00FF 0000 0126 0000 028C 0000 FEFE FEFE 1054 ; 1054; CRC OK;
33.854; R; CW 0xEDA0; AW 0xE800: 0FF1 0D2D 002E 0000 0010 0000 0000 0004 46BC 0000 0000 0000 0000 0002 0000 0007 0000 000A 0000 0005 0000 000B 0000 00B6 0000 004A 0000 009D 0000 FEFE FEFE 96EB ; 96EB; CRC OK;
37.544; R; CW 0xEC20; AW 0xE800: 0FF1 0D21 0022 0000 000F 0001 000E 0000 002D 000A 000A 000A 0009 FF00 000D 0401 1900 FEFE 0001 0A08 0000 0001 0000 0004 03CD 0000 0022 FEFE FEFE FEFE FEFE 8C41 ; 8C41; CRC OK;
37.654; R; CW 0xEC40; AW 0xE800: 0FF1 0D22 0023 0000 0010 0000 0001 0004 34C0 0000 0000 0000 0000 0001 0000 0003 0000 0008 0000 000A 0000 0007 0000 0098 0000 0072 0000 0472 0000 FEFE FEFE 5A03 ; 5A03; CRC OK;
37.746; R; CW 0xEC60; AW 0xE800: 0FF1 0D23 0027 0000 0010 0000 0001 0004 3DC0 0000 0000 0000 0000 0001 0000 0003 0000 0007 0000 000A 0000 0006 0000 0077 0000 005C 0000 0280 0000 FEFE FEFE 8A6F ; 8A6F; CRC OK;
37.855; R; CW 0xEC80; AW 0xE800: 0FF1 0D24 002B 0000 0010 0000 0001 0004 46C0 0000 0000 0000 0000 0001 0000 0002 0000 0007 0000 0007 0000 0004 0000 0051 0000 001B 0000 0037 0000 FEFE FEFE 8F27 ; 8F27; CRC OK;
37.948; R; CW 0xECA0; AW 0xE800: 0FF1 0D25 0024 0000 0010 0000 0001 0004 34C0 0000 0000 0000 0000 0000 0000 0002 0000 0005 0000 0009 0000 000B 0000 006D 0000 0041 0000 021A 0000 FEFE FEFE 35C6 ; 35C6; CRC OK;
38.055; R; CW 0xECC0; AW 0xE800: 0FF1 0D26 0028 0000 0010 0000 0001 0004 3DC0 0000 0000 0000 0000 0000 0000 0002 0000 0006 0000 000A 0000 000A 0000 0063 0000 0058 0000 0234 0000 FEFE FEFE 59E9 ; 59E9; CRC OK;
38.151; R; CW 0xECE0; AW 0xE800: 0FF1 0D27 002C 0000 0010 0000 0001 0004 46C0 0000 0000 0000 0000 0000 0000 0001 0000 0003 0000 0005 0000 0004 0000 0038 0000 001B 0000 004D 0000 FEFE FEFE AC56 ; AC56; CRC OK;
38.246; R; CW 0xED00; AW 0xE800: 0FF1 0D28 0025 0000 0010 0000 0000 0004 34BC 0000 0000 0000 0000 0001 0000 0005 0000 000A 0000 0009 0000 000F 0000 009A 0000 0050 0000 0218 0000 FEFE FEFE 5AE6 ; 5AE6; CRC OK;
38.356; R; CW 0xED20; AW 0xE800: 0FF1 0D29 0029 0000 0010 0000 0000 0004 3DBC 0000 0000 0000 0000 0001 0000 0003 0000 0009 0000 0007 0000 0006 0000 008D 0000 004F 0000 01CA 0000 FEFE FEFE 9283 ; 9283; CRC OK;
38.450; R; CW 0xED40; AW 0xE800: 0FF1 0D2A 002D 0000 0010 0000 0000 0004 46BC 0000 0000 0000 0000 0001 0000 0004 0000 0009 0000 0007 0000 0006 0000 0066 0000 0018 0000 003C 0000 FEFE FEFE 483F ; 483F; CRC OK;
38.545; R; CW 0xED60; AW 0xE800: 0FF1 0D2B 0026 0000 0010 0000 0000 0004 34BC 0000 0000 0000 0000 0003 0000 0009 0000 000F 0000 0006 0000 0010 0000 010D 0000 0114 0000 02BE 0000 FEFE FEFE A324 ; A324; CRC OK;
38.749; R; CW 0xED80; AW 0xE800: 0FF1 0D2C 002F 0000 0011 0001 0001 0004 3DBC 0001 0000 0004 0000 0001 0000 0000 0000 0000 0000 0000 0000 0002 0000 002A 0000 00F2 0000 0136 0000 FEFE FEFE BA1F ; BA1F; CRC OK;
38.843; R; CW 0xEDA0; AW 0xE800: 0FF1 0D2D 002E 0000 0010 0000 0000 0004 46BC 0000 0000 0000 0000 0002 0000 0007 0000 000A 0000 0005 0000 000B 0000 00B6 0000 004A 0000 009D 0000 FEFE FEFE 96EB ; 96EB; CRC OK;
