13.233; W; CW 0xEA24; AW 0xE800: 0002 0000 0000 0000 
28.218; W; CW 0xEA24; AW 0xE800: 0001 0000 0000 003C 
28.250; W; CW 0xEA24; AW 0xE800: 0003 0000 0000 000A 
28.281; W; CW 0xEA24; AW 0xE800: 0005 0001 0000 0000 
28.314; W; CW 0xEA24; AW 0xE800: 0003 0001 0000 0015 
28.423; W; CW 0xEA24; AW 0xE800: 0003 0002 0000 000A 
28.519; W; CW 0xEA24; AW 0xE800: 0003 0003 0000 000A 
39.501; R; CW 0xEC80; AW 0xE800: 0FF1 0D24 0017 0000 000A 0000 0000 0000 46C0 0000 0009 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0003 0000 0045 0000 0016 0000 003D FEFE FEFE 6D37 ; 6D37; CRC OK;
39.611; R; CW 0xECA0; AW 0xE800: 0FF1 0D25 0010 0000 000A 0000 0000 0000 34C0 0000 0007 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0002 0000 000A 0000 0043 0000 01F9 FEFE FEFE 9477 ; 9477; CRC OK;
39.705; R; CW 0xECC0; AW 0xE800: 0FF1 0D26 0014 0000 000A 0000 0000 0000 3DC0 0000 0007 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0004 0000 0026 0000 0065 0000 022F FEFE FEFE 03D6 ; 03D6; CRC OK;
39.800; R; CW 0xECE0; AW 0xE800: 0FF1 0D27 0018 0000 000A 0000 0000 0000 46C0 0000 0006 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0004 0000 004B 0000 0021 0000 0047 FEFE FEFE A7F8 ; A7F8; CRC OK;
39.911; R; CW 0xED00; AW 0xE800: 0FF1 0D28 0011 0000 000A 0000 0002 0000 34BC 0000 0001 0000 0002 0000 0000 0000 0000 0000 0000 0000 0001 0000 0001 0000 0013 0000 0040 0000 01F9 FEFE FEFE AB46 ; AB46; CRC OK;
40.007; R; CW 0xED20; AW 0xE800: 0FF1 0D29 0015 0000 000A 0000 0002 0000 3DBC 0000 0000 0000 0001 0000 0000 0000 0000 0000 0000 0000 0001 0000 0002 0000 000D 0000 0045 0000 0213 FEFE FEFE 3D6B ; 3D6B; CRC OK;
40.100; R; CW 0xED40; AW 0xE800: 0FF1 0D2A 0019 0000 000A 0000 0002 0000 46BC 0000 0000 0000 0001 0000 0000 0000 0000 0000 0000 0000 0001 0000 0005 0000 0065 0000 0016 0000 0034 FEFE FEFE DF9C ; DF9C; CRC OK;
40.212; R; CW 0xED60; AW 0xE800: 0FF1 0D2B 0012 0000 000A 0000 0000 0000 34BC 0000 0001 0000 0003 0000 0000 0000 0000 0000 0001 0000 0001 0000 0005 0000 0030 0000 00FC 0000 0308 FEFE FEFE 7E3F ; 7E3F; CRC OK;
40.399; R; CW 0xED80; AW 0xE800: 0FF1 0D2C 0016 0000 000A 0000 0000 0000 3DBC 0000 0001 0000 0004 0000 0000 0000 0000 0000 0001 0000 0001 0000 0004 0000 002D 0000 0109 0000 039B FEFE FEFE B04D ; B04D; CRC OK;
40.510; R; CW 0xEDA0; AW 0xE800: 0FF1 0D2D 001A 0000 000A 0000 0000 0000 46BC 0000 0004 0000 0002 0000 0000 0000 0000 0000 0001 0000 0001 0000 0005 0000 006D 0000 0050 0000 0072 FEFE FEFE 17EE ; 17EE; CRC OK;
44.214; R; CW 0xEC20; AW 0xE800: 0FF1 0D21 0002 0000 0014 0001 0000 000E 002B 000A 000A 000A 0009 FF00 0011 0401 1100 0015 119F 00DB 0000 0000 0000 0000 000D 0000 001B FEFE FEFE FEFE FEFE EE79 ; EE79; CRC OK;
44.308; R; CW 0xEC40; AW 0xE800: 0FF1 0D22 000F 0000 000A 0000 0000 0000 34C0 0000 0006 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0002 0000 000B 0000 0060 0000 0483 FEFE FEFE 8E91 ; 8E91; CRC OK;
44.403; R; CW 0xEC60; AW 0xE800: 0FF1 0D23 0013 0000 000A 0000 0000 0000 3DC0 0000 0006 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0002 0000 0017 0000 005D 0000 02DD FEFE FEFE FE51 ; FE51; CRC OK;
44.511; R; CW 0xEC80; AW 0xE800: 0FF1 0D24 0017 0000 000A 0000 0000 0000 46C0 0000 0009 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0003 0000 0045 0000 0016 0000 003D FEFE FEFE 6D37 ; 6D37; CRC OK;
44.606; R; CW 0xECA0; AW 0xE800: 0FF1 0D25 001C 0000 0014 0000 0000 0000 34C0 0000 0000 0000 0001 0000 0000 0000 0000 0000 0000 0000 0001 0000 0002 0000 000D 0000 003D 0000 01E8 FEFE FEFE A21B ; A21B; CRC OK;
44.701; R; CW 0xECC0; AW 0xE800: 0FF1 0D26 0014 0000 000A 0000 0000 0000 3DC0 0000 0007 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0004 0000 0026 0000 0065 0000 022F FEFE FEFE 03D6 ; 03D6; CRC OK;
44.811; R; CW 0xECE0; AW 0xE800: 0FF1 0D27 0018 0000 000A 0000 0000 0000 46C0 0000 0006 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0004 0000 004B 0000 0021 0000 0047 FEFE FEFE A7F8 ; A7F8; CRC OK;
44.906; R; CW 0xED00; AW 0xE800: 0FF1 0D28 001D 0000 0014 0000 0002 0000 34BC 0000 0000 0000 0002 0000 0000 0000 0000 0000 0000 0000 0001 0000 0002 0000 0012 0000 0054 0000 01F7 FEFE FEFE D6E7 ; D6E7; CRC OK;
45.001; R; CW 0xED20; AW 0xE800: 0FF1 0D29 0021 0000 0014 0000 0002 0000 3DBC 0000 0000 0000 0002 0000 0000 0000 0000 0000 0000 0000 0001 0000 0002 0000 0024 0000 0051 0000 021F FEFE FEFE A966 ; A966; CRC OK;
45.109; R; CW 0xED40; AW 0xE800: 0FF1 0D2A 0025 0000 0014 0000 0002 0000 46BC 0000 0000 0000 0001 0000 0000 0000 0000 0000 0000 0000 0001 0000 0003 0000 004A 0000 0025 0000 002F FEFE FEFE 603F ; 603F; CRC OK;
45.204; R; CW 0xED60; AW 0xE800: 0FF1 0D2B 001E 0000 0014 0000 0000 0000 34BC 0000 0001 0000 0003 0000 0000 0000 0000 0000 0000 0000 0001 0000 0005 0000 002E 0000 010D 0000 0346 FEFE FEFE 567C ; 567C; CRC OK;
45.406; R; CW 0xED80; AW 0xE800: 0FF1 0D2C 0022 0000 0014 0000 0000 0000 3DBC 0000 0000 0000 0004 0000 0000 0000 0000 0000 0001 0000 0001 0000 0007 0000 002B 0000 0114 0000 03D0 FEFE FEFE F920 ; F920; CRC OK;
45.501; R; CW 0xEDA0; AW 0xE800: 0FF1 0D2D 0026 0000 0014 0000 0000 0000 46BC 0000 0000 0000 0002 0000 0000 0000 0000 0000 0001 0000 0002 0000 000B 0000 00D6 0000 0049 0000 009E FEFE FEFE 34FB ; 34FB; CRC OK;
49.200; R; CW 0xEC20; AW 0xE800: 0FF1 0D21 0002 0000 0014 0001 0000 000E 002B 000A 000A 000A 0009 FF00 0011 0401 1100 0015 119F 00DB 0000 0000 0000 0000 000D 0000 001B FEFE FEFE FEFE FEFE EE79 ; EE79; CRC OK;
