1.166; W; CW 0xEA24; AW 0xE800: 0002 0000 0000 0000 
16.148; W; CW 0xEA24; AW 0xE800: 0001 0000 0000 003C 
16.180; W; CW 0xEA24; AW 0xE800: 0003 0000 0000 000A 
16.212; W; CW 0xEA24; AW 0xE800: 0005 0001 0000 0000 
16.244; W; CW 0xEA24; AW 0xE800: 0003 0001 0000 0015 
16.351; W; CW 0xEA24; AW 0xE800: 0003 0002 0000 000A 
16.445; W; CW 0xEA24; AW 0xE800: 0003 0003 0000 000A 
27.429; R; CW 0xEC80; AW 0xE800: 0FF1 0D24 001B 0000 000C 0001 0002 0004 46C0 0000 0000 0001 0000 0000 0000 0000 0000 0000 0000 0000 0000 0001 0000 0002 0000 000A 0000 0036 0000 FEFE FEFE DB31 ; DB31; CRC OK;
27.538; R; CW 0xECA0; AW 0xE800: 0FF1 0D25 001C 0000 000C 0001 0000 0004 34C0 0000 0000 0001 0000 0000 0000 0000 0000 0000 0000 0000 0000 0001 0000 0008 0000 0037 0000 01E7 0000 FEFE FEFE 720C ; 720C; CRC OK;
27.631; R; CW 0xECC0; AW 0xE800: 0FF1 0D26 0014 0000 000A 0000 0000 0000 3DC0 0007 0000 0000 0000 0000 0000 0000 0000 0000 0000 0001 0000 0003 0000 0026 0000 005D 0000 0289 0000 FEFE FEFE FD62 ; FD62; CRC OK;
27.743; R; CW 0xECE0; AW 0xE800: 0FF1 0D27 0018 0000 000A 0000 0000 0000 46C0 0005 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0004 0000 003B 0000 0016 0000 002E 0000 FEFE FEFE 95CA ; 95CA; CRC OK;
27.838; R; CW 0xED00; AW 0xE800: 0FF1 0D28 001F 0000 000D 0001 0000 0005 34BC 0000 0000 0000 0000 0001 0000 0005 0000 000D 0000 000B 0000 000B 0000 00AA 0000 0042 0000 0196 0000 FEFE FEFE BC76 ; BC76; CRC OK;
27.931; R; CW 0xED20; AW 0xE800: 0FF1 0D29 001D 0000 000C 0001 0001 0004 3DBC 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0001 0000 0001 0000 0009 0000 004E 0000 01C6 0000 FEFE FEFE B168 ; B168; CRC OK;
28.042; R; CW 0xED40; AW 0xE800: 0FF1 0D2A 0019 0000 000A 0000 0002 0001 46BC 0000 0000 0000 0000 0001 0000 0003 0000 0008 0000 000A 0000 0006 0000 0047 0000 0019 0000 0045 0000 FEFE FEFE 7A1C ; 7A1C; CRC OK;
28.135; R; CW 0xED60; AW 0xE800: 0FF1 0D2B 0012 0000 000A 0000 0000 0000 34BC 0001 0000 0003 0000 0000 0000 0000 0000 0000 0000 0001 0000 0003 0000 0036 0000 0114 0000 033C 0000 FEFE FEFE 8875 ; 8875; CRC OK;
28.339; R; CW 0xED80; AW 0xE800: 0FF1 0D2C 001E 0000 000C 0001 0001 0004 3DBC 0001 0000 0003 0000 0000 0000 0000 0000 0001 0000 0001 0000 0003 0000 002F 0000 00AE 0000 01C1 0000 FEFE FEFE 9C31 ; 9C31; CRC OK;
28.434; R; CW 0xEDA0; AW 0xE800: 0FF1 0D2D 001A 0000 000A 0000 0000 0000 46BC 0004 0000 0003 0000 0000 0000 0000 0000 0000 0000 0001 0000 0007 0000 0097 0000 004F 0000 006B 0000 FEFE FEFE 5D82 ; 5D82; CRC OK;
32.133; R; CW 0xEC20; AW 0xE800: 0FF1 0D21 0020 0000 0014 0001 000E 0000 002B 0009 0009 000A 0009 FF00 000D 0401 1100 FEFE 0001 080D 0000 0000 0000 0000 0005 0000 0020 FEFE FEFE FEFE FEFE F18F ; F18F; CRC OK;
32.242; R; CW 0xEC40; AW 0xE800: 0FF1 0D22 000F 0000 000A 0000 0000 0000 34C0 0007 0000 0001 0000 0000 0000 0000 0000 0000 0000 0000 0000 0001 0000 000A 0000 006A 0000 045B 0000 FEFE FEFE 2EF6 ; 2EF6; CRC OK;
32.334; R; CW 0xEC60; AW 0xE800: 0FF1 0D23 0013 0000 000A 0000 0000 0000 3DC0 0007 0000 0001 0000 0000 0000 0000 0000 0000 0000 0001 0000 0002 0000 0026 0000 0057 0000 025F 0000 FEFE FEFE 181D ; 181D; CRC OK;
