1.473; W; CW 0xEA24; AW 0xE800: 0002 0000 0000 0000 
16.453; W; CW 0xEA24; AW 0xE800: 0001 0000 0000 003C 
16.485; W; CW 0xEA24; AW 0xE800: 0003 0000 0000 000A 
16.518; W; CW 0xEA24; AW 0xE800: 0005 0001 0000 0000 
16.565; W; CW 0xEA24; AW 0xE800: 0003 0001 0000 0015 
16.659; W; CW 0xEA24; AW 0xE800: 0003 0002 0000 000A 
16.752; W; CW 0xEA24; AW 0xE800: 0003 0003 0000 000A 
33.356; R; CW 0xED40; AW 0xE800: 0FF1 0D2A 002C 0000 0014 0000 0002 0004 46BC 0000 0000 0000 0000 0001 0000 0003 0000 000A 0000 0008 0000 0004 0000 0041 0000 001B 0000 003F 0000 FEFE FEFE DD58 ; DD58; CRC OK;
33.449; R; CW 0xED60; AW 0xE800: 0FF1 0D2B 0025 0000 0014 0000 0000 0004 34BC 0000 0000 0000 0000 0003 0000 0008 0000 000A 0000 0006 0000 000F 0000 0138 0000 0103 0000 0351 0000 FEFE FEFE 17BA ; 17BA; CRC OK;
33.653; R; CW 0xED80; AW 0xE800: 0FF1 0D2C 0029 0000 0014 0000 0000 0004 3DBC 0000 0000 0000 0000 0003 0000 0007 0000 000C 0000 0008 0000 0014 0000 0122 0000 00FD 0000 0388 0000 FEFE FEFE 7E49 ; 7E49; CRC OK;
33.746; R; CW 0xEDA0; AW 0xE800: 0FF1 0D2D 002D 0000 0014 0000 0000 0004 46BC 0000 0000 0001 0000 0003 0000 0006 0000 0009 0000 0004 0000 0007 0000 008C 0000 004A 0000 0076 0000 FEFE FEFE 9EAF ; 9EAF; CRC OK;
37.456; R; CW 0xEC20; AW 0xE800: 0FF1 0D21 0021 0000 0014 0001 000E 0000 002D 000A 000A 000A 000A FF00 000D 0401 1900 FEFE 0001 08DC 0000 0000 0000 0000 03CD 0000 0021 FEFE FEFE FEFE FEFE 11E7 ; 11E7; CRC OK;
37.548; R; CW 0xEC40; AW 0xE800: 0FF1 0D22 0022 0000 0014 0000 0000 0004 34C0 0000 0000 0000 0000 0001 0000 0003 0000 0007 0000 0008 0000 0005 0000 007E 0000 005D 0000 050E 0000 FEFE FEFE 45CF ; 45CF; CRC OK;
37.643; R; CW 0xEC60; AW 0xE800: 0FF1 0D23 002E 0000 0016 0001 0001 0004 3DC0 0000 0000 0001 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0004 0000 0030 0000 0297 0000 FEFE FEFE 480F ; 480F; CRC OK;
37.753; R; CW 0xEC80; AW 0xE800: 0FF1 0D24 002A 0000 0014 0000 0000 0004 46C0 0000 0000 0000 0000 0001 0000 0006 0000 0005 0000 0009 0000 0003 0000 0059 0000 0018 0000 0037 0000 FEFE FEFE B3BE ; B3BE; CRC OK;
37.846; R; CW 0xECA0; AW 0xE800: 0FF1 0D25 0023 0000 0014 0000 0001 0004 34C0 0000 0000 0000 0000 0000 0000 0001 0000 0004 0000 0007 0000 0007 0000 005B 0000 003C 0000 01D0 0000 FEFE FEFE 0458 ; 0458; CRC OK;
37.956; R; CW 0xECC0; AW 0xE800: 0FF1 0D26 0027 0000 0014 0000 0001 0004 3DC0 0000 0000 0000 0000 0000 0000 0002 0000 0006 0000 000A 0000 000C 0000 005A 0000 0062 0000 025A 0000 FEFE FEFE D4E0 ; D4E0; CRC OK;
38.048; R; CW 0xECE0; AW 0xE800: 0FF1 0D27 002B 0000 0014 0000 0001 0004 46C0 0000 0000 0000 0000 0000 0000 0001 0000 0003 0000 0004 0000 0002 0000 0052 0000 001A 0000 0047 0000 FEFE FEFE 2BB1 ; 2BB1; CRC OK;
38.157; R; CW 0xED00; AW 0xE800: 0FF1 0D28 002F 0000 0016 0001 0000 0004 34BC 0000 0000 0002 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0013 0000 0056 0000 0162 0000 FEFE FEFE E7FF ; E7FF; CRC OK;
38.251; R; CW 0xED20; AW 0xE800: 0FF1 0D29 0028 0000 0014 0000 0002 0004 3DBC 0000 0000 0000 0000 0001 0000 0004 0000 0009 0000 0007 0000 000A 0000 009C 0000 0049 0000 0220 0000 FEFE FEFE 08FA ; 08FA; CRC OK;
38.345; R; CW 0xED40; AW 0xE800: 0FF1 0D2A 002C 0000 0014 0000 0002 0004 46BC 0000 0000 0000 0000 0001 0000 0003 0000 000A 0000 0008 0000 0004 0000 0041 0000 001B 0000 003F 0000 FEFE FEFE DD58 ; DD58; CRC OK;
38.455; R; CW 0xED60; AW 0xE800: 0FF1 0D2B 0025 0000 0014 0000 0000 0004 34BC 0000 0000 0000 0000 0003 0000 0008 0000 000A 0000 0006 0000 000F 0000 0138 0000 0103 0000 0351 0000 FEFE FEFE 17BA ; 17BA; CRC OK;
38.658; R; CW 0xED80; AW 0xE800: 0FF1 0D2C 0029 0000 0014 0000 0000 0004 3DBC 0000 0000 0000 0000 0003 0000 0007 0000 000C 0000 0008 0000 0014 0000 0122 0000 00FD 0000 0388 0000 FEFE FEFE 7E49 ; 7E49; CRC OK;
38.751; R; CW 0xEDA0; AW 0xE800: 0FF1 0D2D 002D 0000 0014 0000 0000 0004 46BC 0000 0000 0001 0000 0003 0000 0006 0000 0009 0000 0004 0000 0007 0000 008C 0000 004A 0000 0076 0000 FEFE FEFE 9EAF ; 9EAF; CRC OK;
42.457; R; CW 0xEC20; AW 0xE800: 0FF1 0D21 0030 0000 001E 0001 000E 0000 002D 000A 000A 000A 0009 FF00 000D 0401 1900 FEFE 0001 08E6 0000 0000 0000 0000 03CD 0000 0030 FEFE FEFE FEFE FEFE E750 ; E750; CRC OK;
42.552; R; CW 0xEC40; AW 0xE800: 0FF1 0D22 0022 0000 0014 0000 0000 0004 34C0 0000 0000 0000 0000 0001 0000 0003 0000 0007 0000 0008 0000 0005 0000 007E 0000 005D 0000 050E 0000 FEFE FEFE 45CF ; 45CF; CRC OK;
42.644; R; CW 0xEC60; AW 0xE800: 0FF1 0D23 002E 0000 0016 0001 0001 0004 3DC0 0000 0000 0001 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0004 0000 0030 0000 0297 0000 FEFE FEFE 480F ; 480F; CRC OK;
42.753; R; CW 0xEC80; AW 0xE800: 0FF1 0D24 002A 0000 0014 0000 0000 0004 46C0 0000 0000 0000 0000 0001 0000 0006 0000 0005 0000 0009 0000 0003 0000 0059 0000 0018 0000 0037 0000 FEFE FEFE B3BE ; B3BE; CRC OK;
42.846; R; CW 0xECA0; AW 0xE800: 0FF1 0D25 0023 0000 0014 0000 0001 0004 34C0 0000 0000 0000 0000 0000 0000 0001 0000 0004 0000 0007 0000 0007 0000 005B 0000 003C 0000 01D0 0000 FEFE FEFE 0458 ; 0458; CRC OK;
42.955; R; CW 0xECC0; AW 0xE800: 0FF1 0D26 0027 0000 0014 0000 0001 0004 3DC0 0000 0000 0000 0000 0000 0000 0002 0000 0006 0000 000A 0000 000C 0000 005A 0000 0062 0000 025A 0000 FEFE FEFE D4E0 ; D4E0; CRC OK;
43.049; R; CW 0xECE0; AW 0xE800: 0FF1 0D27 002B 0000 0014 0000 0001 0004 46C0 0000 0000 0000 0000 0000 0000 0001 0000 0003 0000 0004 0000 0002 0000 0052 0000 001A 0000 0047 0000 FEFE FEFE 2BB1 ; 2BB1; CRC OK;
