1.629; W; CW 0xEA24; AW 0xE800: 0002 0000 0000 0000 
16.602; W; CW 0xEA24; AW 0xE800: 0001 0000 0000 003C 
16.633; W; CW 0xEA24; AW 0xE800: 0003 0000 0000 000A 
16.665; W; CW 0xEA24; AW 0xE800: 0005 0001 0000 0000 
16.712; W; CW 0xEA24; AW 0xE800: 0003 0001 0000 0015 
16.805; W; CW 0xEA24; AW 0xE800: 0003 0002 0000 000A 
16.915; W; CW 0xEA24; AW 0xE800: 0003 0003 0000 000A 
28.893; R; CW 0xEDA0; AW 0xE800: 0FF1 0D2D 0017 0000 0006 0000 0000 0000 46BC 0000 0004 0000 0003 0000 0000 0000 0000 0000 0001 0000 0001 0000 0009 0000 00C0 0000 0043 0000 007E FEFE FEFE 5EB9 ; 5EB9; CRC OK;
32.599; R; CW 0xEC20; AW 0xE800: 0FF1 0D21 0002 0000 000F 0001 0000 000E 002B 000A 000A 000A 0009 FF00 0011 0401 1100 0015 119F 0073 0000 0001 0000 0004 000D 0000 0018 FEFE FEFE FEFE FEFE AC5F ; AC5F; CRC OK;
32.694; R; CW 0xEC40; AW 0xE800: 0FF1 0D22 000C 0000 0006 0000 0000 0000 34C0 0000 0006 0000 0001 0000 0000 0000 0000 0000 0000 0000 0000 0000 0001 0000 000A 0000 006A 0000 0452 FEFE FEFE EC6C ; EC6C; CRC OK;
32.804; R; CW 0xEC60; AW 0xE800: 0FF1 0D23 0010 0000 0006 0000 0000 0000 3DC0 0000 0007 0000 0001 0000 0000 0000 0000 0000 0000 0000 0001 0000 0001 0000 0015 0000 0060 0000 02F8 FEFE FEFE CDE6 ; CDE6; CRC OK;
32.899; R; CW 0xEC80; AW 0xE800: 0FF1 0D24 0014 0000 0006 0000 0000 0000 46C0 0000 0009 0000 0001 0000 0000 0000 0000 0000 0000 0000 0000 0000 0002 0000 0047 0000 001B 0000 0042 FEFE FEFE B5CC ; B5CC; CRC OK;
32.994; R; CW 0xECA0; AW 0xE800: 0FF1 0D25 0019 0000 0010 0000 0000 0000 34C0 0000 0000 0000 0001 0000 0000 0000 0000 0000 0000 0000 0001 0000 0002 0000 000A 0000 003C 0000 0211 FEFE FEFE 057B ; 057B; CRC OK;
33.104; R; CW 0xECC0; AW 0xE800: 0FF1 0D26 0011 0000 0006 0000 0000 0000 3DC0 0000 0007 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0002 0000 001D 0000 005B 0000 0268 FEFE FEFE 8F95 ; 8F95; CRC OK;
33.198; R; CW 0xECE0; AW 0xE800: 0FF1 0D27 0015 0000 0006 0000 0000 0000 46C0 0000 0005 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0002 0000 003E 0000 0023 0000 003D FEFE FEFE FF71 ; FF71; CRC OK;
33.293; R; CW 0xED00; AW 0xE800: 0FF1 0D28 001A 0000 0010 0000 0000 0000 34BC 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0001 0000 0001 0000 0010 0000 0055 0000 01E0 FEFE FEFE 879E ; 879E; CRC OK;
33.405; R; CW 0xED20; AW 0xE800: 0FF1 0D29 001E 0000 0010 0000 0000 0000 3DBC 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0001 0000 0002 0000 0025 0000 0051 0000 01D8 FEFE FEFE 1A9A ; 1A9A; CRC OK;
33.501; R; CW 0xED40; AW 0xE800: 0FF1 0D2A 0022 0000 0010 0000 0000 0000 46BC 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0001 0000 0003 0000 0052 0000 001D 0000 0038 FEFE FEFE AD6A ; AD6A; CRC OK;
33.594; R; CW 0xED60; AW 0xE800: 0FF1 0D2B 001B 0000 0010 0000 0000 0000 34BC 0000 0001 0000 0003 0000 0000 0000 0000 0000 0001 0000 0001 0000 0001 0000 002A 0000 0102 0000 039E FEFE FEFE 27F7 ; 27F7; CRC OK;
33.796; R; CW 0xED80; AW 0xE800: 0FF1 0D2C 001F 0000 0010 0000 0000 0000 3DBC 0000 0000 0000 0003 0000 0000 0000 0000 0000 0000 0000 0001 0000 0006 0000 0042 0000 00FF 0000 0326 FEFE FEFE 7758 ; 7758; CRC OK;
33.906; R; CW 0xEDA0; AW 0xE800: 0FF1 0D2D 0023 0000 0010 0000 0000 0000 46BC 0000 0001 0000 0003 0000 0000 0000 0000 0000 0000 0000 0001 0000 0008 0000 00A3 0000 0052 0000 0073 FEFE FEFE D189 ; D189; CRC OK;
37.598; R; CW 0xEC20; AW 0xE800: 0FF1 0D21 0002 0000 000F 0001 0000 000E 002B 000A 000A 000A 0009 FF00 0011 0401 1100 0015 119F 0073 0000 0001 0000 0004 000D 0000 0018 FEFE FEFE FEFE FEFE AC5F ; AC5F; CRC OK;
37.697; R; CW 0xEC40; AW 0xE800: 0FF1 0D22 0018 0000 0010 0000 0000 0000 34C0 0000 0000 0000 0001 0000 0000 0000 0000 0000 0000 0000 0001 0000 0002 0000 000D 0000 0081 0000 04DC FEFE FEFE 90CF ; 90CF; CRC OK;
37.803; R; CW 0xEC60; AW 0xE800: 0FF1 0D23 001C 0000 0010 0000 0000 0000 3DC0 0000 0000 0000 0001 0000 0000 0000 0000 0000 0000 0000 0000 0000 0002 0000 0011 0000 004C 0000 026A FEFE FEFE C864 ; C864; CRC OK;
37.898; R; CW 0xEC80; AW 0xE800: 0FF1 0D24 0020 0000 0010 0000 0000 0000 46C0 0000 0000 0000 0001 0000 0000 0000 0004 0000 0000 0000 0001 0000 0003 0000 005C 0000 001B 0000 003D FEFE FEFE 86AC ; 86AC; CRC OK;
37.993; R; CW 0xECA0; AW 0xE800: 0FF1 0D25 0019 0000 0010 0000 0000 0000 34C0 0000 0000 0000 0001 0000 0000 0000 0000 0000 0000 0000 0001 0000 0002 0000 000A 0000 003C 0000 0211 FEFE FEFE 057B ; 057B; CRC OK;
38.103; R; CW 0xECC0; AW 0xE800: 0FF1 0D26 001D 0000 0010 0000 0000 0000 3DC0 0000 0000 0000 0001 0000 0000 0000 0000 0000 0000 0000 0000 0000 0004 0000 002B 0000 004F 0000 02D8 FEFE FEFE D810 ; D810; CRC OK;
38.196; R; CW 0xECE0; AW 0xE800: 0FF1 0D27 0021 0000 0010 0000 0000 0000 46C0 0000 0000 0000 0001 0000 0000 0000 0000 0000 0000 0000 0001 0000 0004 0000 0058 0000 001E 0000 0032 FEFE FEFE 7047 ; 7047; CRC OK;
38.307; R; CW 0xED00; AW 0xE800: 0FF1 0D28 001A 0000 0010 0000 0000 0000 34BC 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0001 0000 0001 0000 0010 0000 0055 0000 01E0 FEFE FEFE 879E ; 879E; CRC OK;
38.402; R; CW 0xED20; AW 0xE800: 0FF1 0D29 001E 0000 0010 0000 0000 0000 3DBC 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0001 0000 0002 0000 0025 0000 0051 0000 01D8 FEFE FEFE 1A9A ; 1A9A; CRC OK;
38.499; R; CW 0xED40; AW 0xE800: 0FF1 0D2A 0022 0000 0010 0000 0000 0000 46BC 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0001 0000 0003 0000 0052 0000 001D 0000 0038 FEFE FEFE AD6A ; AD6A; CRC OK;
38.595; R; CW 0xED60; AW 0xE800: 0FF1 0D2B 001B 0000 0010 0000 0000 0000 34BC 0000 0001 0000 0003 0000 0000 0000 0000 0000 0001 0000 0001 0000 0001 0000 002A 0000 0102 0000 039E FEFE FEFE 27F7 ; 27F7; CRC OK;
38.797; R; CW 0xED80; AW 0xE800: 0FF1 0D2C 001F 0000 0010 0000 0000 0000 3DBC 0000 0000 0000 0003 0000 0000 0000 0000 0000 0000 0000 0001 0000 0006 0000 0042 0000 00FF 0000 0326 FEFE FEFE 7758 ; 7758; CRC OK;
38.892; R; CW 0xEDA0; AW 0xE800: 0FF1 0D2D 0023 0000 0010 0000 0000 0000 46BC 0000 0001 0000 0003 0000 0000 0000 0000 0000 0000 0000 0001 0000 0008 0000 00A3 0000 0052 0000 0073 FEFE FEFE D189 ; D189; CRC OK;
42.597; R; CW 0xEC20; AW 0xE800: 0FF1 0D21 0003 0000 0019 0001 0000 000E 002B 000A 000A 000A 0009 FF00 0011 0401 1100 0015 119F 007D 0000 0001 0000 0004 000D 0000 0024 FEFE FEFE FEFE FEFE 4A2B ; 4A2B; CRC OK;
42.706; R; CW 0xEC40; AW 0xE800: 0FF1 0D22 0018 0000 0010 0000 0000 0000 34C0 0000 0000 0000 0001 0000 0000 0000 0000 0000 0000 0000 0001 0000 0002 0000 000D 0000 0081 0000 04DC FEFE FEFE 90CF ; 90CF; CRC OK;
42.800; R; CW 0xEC60; AW 0xE800: 0FF1 0D23 001C 0000 0010 0000 0000 0000 3DC0 0000 0000 0000 0001 0000 0000 0000 0000 0000 0000 0000 0000 0000 0002 0000 0011 0000 004C 0000 026A FEFE FEFE C864 ; C864; CRC OK;
42.895; R; CW 0xEC80; AW 0xE800: 0FF1 0D24 0020 0000 0010 0000 0000 0000 46C0 0000 0000 0000 0001 0000 0000 0000 0004 0000 0000 0000 0001 0000 0003 0000 005C 0000 001B 0000 003D FEFE FEFE 86AC ; 86AC; CRC OK;
43.005; R; CW 0xECA0; AW 0xE800: 0FF1 0D25 0025 0000 001A 0000 0000 0000 34C0 0000 0000 0000 0001 0000 0000 0000 0000 0000 0000 0000 0001 0000 0002 0000 0007 0000 003F 0000 022E FEFE FEFE 6BF0 ; 6BF0; CRC OK;
43.100; R; CW 0xECC0; AW 0xE800: 0FF1 0D26 001D 0000 0010 0000 0000 0000 3DC0 0000 0000 0000 0001 0000 0000 0000 0000 0000 0000 0000 0000 0000 0004 0000 002B 0000 004F 0000 02D8 FEFE FEFE D810 ; D810; CRC OK;
43.194; R; CW 0xECE0; AW 0xE800: 0FF1 0D27 0021 0000 0010 0000 0000 0000 46C0 0000 0000 0000 0001 0000 0000 0000 0000 0000 0000 0000 0001 0000 0004 0000 0058 0000 001E 0000 0032 FEFE FEFE 7047 ; 7047; CRC OK;
43.304; R; CW 0xED00; AW 0xE800: 0FF1 0D28 0026 0000 001A 0000 0000 0000 34BC 0000 0000 0000 0002 0000 0000 0000 0000 0000 0000 0000 0001 0000 0002 0000 0016 0000 0063 0000 023A FEFE FEFE B10E ; B10E; CRC OK;
43.399; R; CW 0xED20; AW 0xE800: 0FF1 0D29 002A 0000 001A 0000 0000 0000 3DBC 0000 0000 0000 0002 0000 0000 0000 0000 0000 0000 0000 0001 0000 0002 0000 0017 0000 004C 0000 0234 FEFE FEFE FEDD ; FEDD; CRC OK;
