3.695; W; CW 0xB224; AW 0xB080: 0002 0000 0000 0000 
13.682; W; CW 0xB224; AW 0xB080: 0001 0000 0064 0000 
13.794; W; CW 0xB224; AW 0xB080: 0003 0000 000A 0000 
13.889; W; CW 0xB224; AW 0xB080: 0003 0001 000B 0000 
13.984; W; CW 0xB224; AW 0xB080: 0003 0002 003C 0000 
14.096; W; CW 0xB224; AW 0xB080: 0003 0003 000A 0000 
73.877; R; CW 0xB440; AW 0xB080: 0FF1 0D02 0004 0000 008C 0000 001C 0000 006E 000D 85CA 0000 0000 0000 0004 0114 AC23 09F5 0006 0000 0082 000D 9C3E 0000 0000 0000 0005 0146 C557 09F5 0006 E01D ; E01D; CRC OK;
73.973; R; CW 0xB460; AW 0xB080: 0FF1 0D03 FEFE 0002 09B9 FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE 88A6 ; 88A6; CRC OK;
74.083; R; CW 0xB480; AW 0xB080: 0FF1 0D04 0006 0000 0097 0182 031B 0033 031B 0008 031B FFED 031B FFC6 031B FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE 3400 000A 1A7E ; 1A7E; CRC OK;
74.177; R; CW 0xB4A0; AW 0xB080: 0FF1 0D05 FEFE 0002 09B9 FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE 6701 ; 6701; CRC OK;
78.682; R; CW 0xB5E0; AW 0xB080: 0FF1 0D0F 0006 0000 009B 0154 003C 0023 0023 001F 001D 0084 3000 0000 0006 0000 0000 0000 007F 000A 000B 0061 AE01 0000 0002 5202 000F 925E FF82 003C 000A B05D ; B05D; CRC OK;
78.779; R; CW 0xB420; AW 0xB080: 0FF1 0D01 0002 0000 0082 0000 000A 0000 0005 0008 FC67 014B E697 000C 000F 0C71 AC0F 01C2 03D4 0000 0078 000D 7804 0000 0000 0000 0008 010D 63C3 01B7 000E 1739 ; 1739; CRC OK;
78.871; R; CW 0xB440; AW 0xB080: 0FF1 0D02 0004 0000 008C 0000 001C 0000 006E 000D 85CA 0000 0000 0000 0004 0114 AC23 09F5 0006 0000 0082 000D 9C3E 0000 0000 0000 0005 0146 C557 09F5 0006 E01D ; E01D; CRC OK;
78.979; R; CW 0xB460; AW 0xB080: 0FF1 0D03 FEFE 0002 09B9 FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE 88A6 ; 88A6; CRC OK;
79.075; R; CW 0xB480; AW 0xB080: 0FF1 0D04 0007 0000 00A1 0182 031B 0033 031B 0008 031B FFED 031B FFC6 031B FFDD 031B FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE 3400 000A CB4A ; CB4A; CRC OK;
79.187; R; CW 0xB4A0; AW 0xB080: 0FF1 0D05 FEFE 0002 09B9 FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE 6701 ; 6701; CRC OK;
