10.703; W; CW 0xEA24; AW 0xE800: 0002 0000 0000 0000 
20.696; W; CW 0xEA24; AW 0xE800: 0001 0000 0000 003C 
36.987; R; CW 0xEC80; AW 0xE800: 0FF1 0D24 0016 000A 0000 FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE 391A ; 391A; CRC OK;
37.083; R; CW 0xECA0; AW 0xE800: 0FF1 0D25 000F 000A 0000 0000 0000 0000 34C0 0008 0000 0001 0000 0000 0000 0000 0000 0000 0000 0001 0000 0002 0000 000A 0000 0041 0000 01F5 0000 FEFE FEFE 9EC9 ; 9EC9; CRC OK;
37.178; R; CW 0xECC0; AW 0xE800: 0FF1 0D26 0013 000A 0000 0000 0000 0000 3DC0 0008 0000 0001 0000 0000 0000 0000 0000 0000 0000 0001 0000 0003 0000 0024 0000 004C 0000 01D1 0000 FEFE FEFE 6708 ; 6708; CRC OK;
37.287; R; CW 0xECE0; AW 0xE800: 0FF1 0D27 001A 000C 0000 0001 0002 0004 46C0 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0001 0000 0004 0000 0018 0000 FEFE FEFE 2208 ; 2208; CRC OK;
37.381; R; CW 0xED00; AW 0xE800: 0FF1 0D28 0010 000A 0000 0000 0000 0000 34BC 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0001 0000 000F 0000 0067 0000 032E 0000 FEFE FEFE 1EC1 ; 1EC1; CRC OK;
37.476; R; CW 0xED20; AW 0xE800: 0FF1 0D29 0014 000A 0000 0000 0000 0000 3DBC 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0001 0000 0005 0000 0006 0000 FEFE FEFE 0FDE ; 0FDE; CRC OK;
37.585; R; CW 0xED40; AW 0xE800: 0FF1 0D2A 0018 000A 0000 0000 0000 0000 46BC 0001 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0003 0000 0003 0000 0006 0000 FEFE FEFE F081 ; F081; CRC OK;
37.679; R; CW 0xED60; AW 0xE800: 0FF1 0D2B 0011 000A 0000 0000 0000 0000 34BC 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0001 0000 0005 0000 002D 0000 01F3 0000 068C 0000 FEFE FEFE E0C9 ; E0C9; CRC OK;
37.883; R; CW 0xED80; AW 0xE800: 0FF1 0D2C 0015 000A 0000 0000 0000 0000 3DBC 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0003 0000 0007 0000 FEFE FEFE 6736 ; 6736; CRC OK;
37.976; R; CW 0xEDA0; AW 0xE800: 0FF1 0D2D 0019 000A 0000 0000 0000 0000 46BC 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0001 0000 0002 0000 0009 0000 FEFE FEFE 506E ; 506E; CRC OK;
