1.615; W; CW 0xEA24; AW 0xE800: 0002 0000 0000 0000 
11.609; W; CW 0xEA24; AW 0xE800: 0001 0000 0000 003C 
23.089; R; CW 0xECC0; AW 0xE800: 0FF1 0D26 0006 0000 0000 0000 0000 0000 3DC0 DEAD 0000 D898 0000 D124 0000 D8D3 0000 D8A6 0000 D98F 0000 D291 0000 EAFF 0000 08D1 0001 4968 0002 FEFE FEFE 8869 ; 8869; CRC OK;
23.200; R; CW 0xECE0; AW 0xE800: 0FF1 0D27 000A 0000 0000 0000 0000 0000 46C0 A8D0 0000 A5E7 0000 9FB5 0000 A5A0 0000 AB51 0000 A83F 0000 B1A6 0000 B1FF 0000 BD2A 0000 38D0 0002 FEFE FEFE 67D2 ; 67D2; CRC OK;
23.294; R; CW 0xED00; AW 0xE800: 0FF1 0D28 0010 000A 0000 0000 0000 0000 34BC 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0001 0000 0010 0000 005B 0000 0315 0000 FEFE FEFE 11B5 ; 11B5; CRC OK;
23.388; R; CW 0xED20; AW 0xE800: 0FF1 0D29 0014 000A 0000 0000 0000 0000 3DBC 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0003 0000 0005 0000 0007 0000 FEFE FEFE FA66 ; FA66; CRC OK;
23.497; R; CW 0xED40; AW 0xE800: 0FF1 0D2A 0018 000A 0000 0000 0000 0000 46BC 0001 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0003 0000 0003 0000 0004 0000 FEFE FEFE 9062 ; 9062; CRC OK;
23.592; R; CW 0xED60; AW 0xE800: 0FF1 0D2B 0011 000A 0000 0000 0000 0000 34BC 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0001 0000 0005 0000 002F 0000 01C9 0000 06E0 0000 FEFE FEFE B11B ; B11B; CRC OK;
23.796; R; CW 0xED80; AW 0xE800: 0FF1 0D2C 0015 000A 0000 0000 0000 0000 3DBC 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0003 0000 0007 0000 FEFE FEFE 6736 ; 6736; CRC OK;
23.891; R; CW 0xEDA0; AW 0xE800: 0FF1 0D2D 0019 000A 0000 0000 0000 0000 46BC 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0001 0000 0002 0000 000A 0000 FEFE FEFE 88EC ; 88EC; CRC OK;
27.589; R; CW 0xEC20; AW 0xE800: 0FF1 0D21 000D 000A 0000 0001 000E 0000 002B 0009 0009 0000 0009 0000 00FF 0000 00FE FEFE DD8D 0001 0000 0000 0000 0000 0005 0000 000D 0000 0000 0000 0000 CCBB ; CCBB; CRC OK;
27.698; R; CW 0xEC40; AW 0xE800: 0FF1 0D22 000E 000A 0000 FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE 0668 ; 0668; CRC OK;
27.793; R; CW 0xEC60; AW 0xE800: 0FF1 0D23 0012 000A 0000 FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE 2C35 ; 2C35; CRC OK;
27.889; R; CW 0xEC80; AW 0xE800: 0FF1 0D24 0016 000A 0000 FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE 391A ; 391A; CRC OK;
28.000; R; CW 0xECA0; AW 0xE800: 0FF1 0D25 000F 000A 0000 0000 0000 0000 34C0 0007 0000 0000 0000 0000 0000 0000 0000 0000 0000 0001 0000 0003 0000 0009 0000 003D 0000 0201 0000 FEFE FEFE 8A8D ; 8A8D; CRC OK;
