0.811; W; CW 0xEA24; AW 0xE800: 0002 0000 0000 0000 
26.788; R; CW 0xEC20; AW 0xE800: 0FF1 0D21 000D 000A 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 00FF 0E04 00FE FEFE DDC3 0001 0000 0000 0000 0000 0005 0000 000D 0000 0000 0000 0000 CBB5 ; CBB5; CRC OK;
26.884; R; CW 0xEC40; AW 0xE800: 0FF1 0D22 0002 0000 0000 FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE 95F1 ; 95F1; CRC OK;
26.994; R; CW 0xEC60; AW 0xE800: 0FF1 0D23 0005 0000 0000 FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE DF77 ; DF77; CRC OK;
27.088; R; CW 0xEC80; AW 0xE800: 0FF1 0D24 0008 0000 0000 FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE EA11 ; EA11; CRC OK;
27.183; R; CW 0xECA0; AW 0xE800: 0FF1 0D25 0003 0000 0000 0000 0000 0000 34C0 F4CA 0000 F7F7 0000 E5D5 0000 DE94 0000 D98F 0000 EE06 0000 F879 0000 E711 0000 F50E 0000 6374 0002 FEFE FEFE E3EC ; E3EC; CRC OK;
27.292; R; CW 0xECC0; AW 0xE800: 0FF1 0D26 0006 0000 0000 0000 0000 0000 3DC0 DFDC 0000 D812 0000 D37A 0000 E019 0000 D8A9 0000 D051 0000 D8B8 0000 E89E 0000 EFBE 0000 A89B 0002 FEFE FEFE 0BFF ; 0BFF; CRC OK;
27.387; R; CW 0xECE0; AW 0xE800: 0FF1 0D27 0009 0000 0000 0000 0000 0000 46C0 AA12 0000 A5CC 0000 A0D3 0000 A273 0000 A91A 0000 A777 0000 A2BF 0000 B99F 0000 B841 0000 E1C2 0001 FEFE FEFE EBAD ; EBAD; CRC OK;
27.482; R; CW 0xED00; AW 0xE800: 0FF1 0D28 000A 0000 0000 FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE 0A95 ; 0A95; CRC OK;
27.593; R; CW 0xED20; AW 0xE800: 0FF1 0D29 000B 0000 0000 FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE 302E ; 302E; CRC OK;
27.689; R; CW 0xED40; AW 0xE800: 0FF1 0D2A 000C 0000 0000 FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE 2035 ; 2035; CRC OK;
