2.316; W; CW 0xEA24; AW 0xE800: 0002 0000 0000 0000 
12.308; W; CW 0xEA24; AW 0xE800: 0001 0000 0000 003C 
24.488; R; CW 0xED80; AW 0xE800: 0FF1 0D2C 0015 000A 0000 0000 0000 0000 3DBC 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0001 0000 0003 0000 000B 0000 FEFE FEFE 9BA1 ; 9BA1; CRC OK;
24.600; R; CW 0xEDA0; AW 0xE800: 0FF1 0D2D 0019 000A 0000 0000 0000 0000 46BC 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0001 0000 0002 0000 0008 0000 FEFE FEFE E80F ; E80F; CRC OK;
28.300; R; CW 0xEC20; AW 0xE800: 0FF1 0D21 000D 000A 0000 0001 000E 0000 002B 000A 0009 0000 0009 0000 00FF 0000 00FE FEFE D898 0001 0000 0000 0000 0000 0005 0000 000D 0000 0000 0000 0000 1603 ; 1603; CRC OK;
28.395; R; CW 0xEC40; AW 0xE800: 0FF1 0D22 000E 000A 0000 FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE 0668 ; 0668; CRC OK;
28.491; R; CW 0xEC60; AW 0xE800: 0FF1 0D23 0012 000A 0000 FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE 2C35 ; 2C35; CRC OK;
28.602; R; CW 0xEC80; AW 0xE800: 0FF1 0D24 0016 000A 0000 FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE 391A ; 391A; CRC OK;
28.696; R; CW 0xECA0; AW 0xE800: 0FF1 0D25 000F 000A 0000 0000 0000 0000 34C0 0007 0000 0001 0000 0000 0000 0000 0000 0000 0000 0000 0000 0001 0000 0008 0000 0032 0000 01ED 0000 FEFE FEFE C201 ; C201; CRC OK;
28.792; R; CW 0xECC0; AW 0xE800: 0FF1 0D26 001A 000C 0000 0001 0001 0004 3DC0 0000 0000 0001 0000 0000 0000 0000 0000 0000 0000 0000 0000 0001 0000 0009 0000 0033 0000 01E3 0000 FEFE FEFE 4CF4 ; 4CF4; CRC OK;
28.903; R; CW 0xECE0; AW 0xE800: 0FF1 0D27 0017 000A 0000 0000 0000 0000 46C0 0006 0000 0001 0000 0000 0000 0000 0000 0000 0000 0000 0000 0005 0000 0055 0000 001C 0000 0039 0000 FEFE FEFE ABFA ; ABFA; CRC OK;
28.998; R; CW 0xED00; AW 0xE800: 0FF1 0D28 0010 000A 0000 0000 0000 0000 34BC 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0001 0000 0011 0000 0063 0000 03A8 0000 FEFE FEFE FAFE ; FAFE; CRC OK;
29.094; R; CW 0xED20; AW 0xE800: 0FF1 0D29 0014 000A 0000 0000 0000 0000 3DBC 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0001 0000 0006 0000 0008 0000 FEFE FEFE 45AC ; 45AC; CRC OK;
29.189; R; CW 0xED40; AW 0xE800: 0FF1 0D2A 0018 000A 0000 0000 0000 0000 46BC 0001 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0004 0000 0004 0000 0003 0000 FEFE FEFE D80C ; D80C; CRC OK;
29.300; R; CW 0xED60; AW 0xE800: 0FF1 0D2B 0011 000A 0000 0000 0000 0000 34BC 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0002 0000 0045 0000 01E0 0000 05F0 0000 FEFE FEFE 1C3D ; 1C3D; CRC OK;
29.491; R; CW 0xED80; AW 0xE800: 0FF1 0D2C 0015 000A 0000 0000 0000 0000 3DBC 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0001 0000 0003 0000 000B 0000 FEFE FEFE 9BA1 ; 9BA1; CRC OK;
29.600; R; CW 0xEDA0; AW 0xE800: 0FF1 0D2D 0019 000A 0000 0000 0000 0000 46BC 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0001 0000 0002 0000 0008 0000 FEFE FEFE E80F ; E80F; CRC OK;
