42.679; R; CW 0xEC44; AW 0xE800: 0FF1 0D22 0125 0052 ; F7EC; CRC BAD;
42.773; R; CW 0xEC64; AW 0xE800: FEFE FEFE FEFE FEFE ; 2B84; CRC BAD;
42.880; R; CW 0xEC84; AW 0xE800: FEFE FEFE FEFE FEFE ; 2B84; CRC BAD;
42.973; R; CW 0xECA4; AW 0xE800: 0FF1 0D25 0134 0071 ; 706C; CRC BAD;
43.081; R; CW 0xECC4; AW 0xE800: FEFE FEFE FEFE FEFE ; 2B84; CRC BAD;
43.174; R; CW 0xECE4; AW 0xE800: 0FF1 0D27 012E 0052 ; AD77; CRC BAD;
43.282; R; CW 0xED04; AW 0xE800: FEFE FEFE FEFE FEFE ; 2B84; CRC BAD;
43.376; R; CW 0xED24; AW 0xE800: 0FF1 0D29 0139 0071 ; D4A0; CRC BAD;
43.469; R; CW 0xED44; AW 0xE800: FEFE FEFE FEFE FEFE ; 2B84; CRC BAD;
43.577; R; CW 0xED64; AW 0xE800: FEFE FEFE FEFE FEFE ; 2B84; CRC BAD;
43.779; R; CW 0xED84; AW 0xE800: 0FF1 0D2C 013A 0071 ; 0F33; CRC BAD;
43.871; R; CW 0xEDA4; AW 0xE800: 0FF1 0D2D 013E 0071 ; 7887; CRC BAD;
47.582; R; CW 0xEC24; AW 0xE800: FEFE FEFE FEFE FEFE ; 2B84; CRC BAD;
47.675; R; CW 0xEC44; AW 0xE800: 0FF1 0D22 0133 0071 ; 851B; CRC BAD;
47.783; R; CW 0xEC64; AW 0xE800: FEFE FEFE FEFE FEFE ; 2B84; CRC BAD;
47.876; R; CW 0xEC84; AW 0xE800: 0FF1 0D24 013B 0071 ; B6B3; CRC BAD;
47.984; R; CW 0xECA4; AW 0xE800: FEFE FEFE FEFE FEFE ; 2B84; CRC BAD;
48.077; R; CW 0xECC4; AW 0xE800: 0FF1 0D26 0138 0071 ; E8B0; CRC BAD;
48.169; R; CW 0xECE4; AW 0xE800: 0FF1 0D27 013F 0072 ; AF67; CRC BAD;
48.278; R; CW 0xED04; AW 0xE800: 0FF1 0D28 0135 0071 ; 221C; CRC BAD;
48.371; R; CW 0xED24; AW 0xE800: FEFE FEFE FEFE FEFE ; 2B84; CRC BAD;
48.478; R; CW 0xED44; AW 0xE800: FEFE FEFE FEFE FEFE ; 2B84; CRC BAD;
48.572; R; CW 0xED64; AW 0xE800: 0FF1 0D2B 0136 0071 ; 4B2F; CRC BAD;
48.773; R; CW 0xED84; AW 0xE800: FEFE FEFE FEFE FEFE ; 2B84; CRC BAD;
48.882; R; CW 0xEDA4; AW 0xE800: 0FF1 0D2D 013E 0071 ; 7887; CRC BAD;
52.580; R; CW 0xEC24; AW 0xE800: 0FF1 0D21 0132 0070 ; CC6A; CRC BAD;
52.672; R; CW 0xEC44; AW 0xE800: 0FF1 0D22 0133 0071 ; 851B; CRC BAD;
52.780; R; CW 0xEC64; AW 0xE800: FEFE FEFE FEFE FEFE ; 2B84; CRC BAD;
52.873; R; CW 0xEC84; AW 0xE800: 0FF1 0D24 013B 0071 ; B6B3; CRC BAD;
52.979; R; CW 0xECA4; AW 0xE800: 0FF1 0D25 0134 0071 ; 706C; CRC BAD;
53.071; R; CW 0xECC4; AW 0xE800: 0FF1 0D26 0138 0071 ; E8B0; CRC BAD;
53.180; R; CW 0xECE4; AW 0xE800: 0FF1 0D27 013F 0072 ; AF67; CRC BAD;
53.272; R; CW 0xED04; AW 0xE800: FEFE FEFE FEFE FEFE ; 2B84; CRC BAD;
53.379; R; CW 0xED24; AW 0xE800: FEFE FEFE FEFE FEFE ; 2B84; CRC BAD;
53.471; R; CW 0xED44; AW 0xE800: FEFE FEFE FEFE FEFE ; 2B84; CRC BAD;
53.579; R; CW 0xED64; AW 0xE800: FEFE FEFE FEFE FEFE ; 2B84; CRC BAD;
53.780; R; CW 0xED84; AW 0xE800: FEFE FEFE FEFE FEFE ; 2B84; CRC BAD;
53.873; R; CW 0xEDA4; AW 0xE800: 0FF1 0D2D 013E 0071 ; 7887; CRC BAD;
57.580; R; CW 0xEC24; AW 0xE800: 0FF1 0D21 0132 0070 ; CC6A; CRC BAD;
57.673; R; CW 0xEC44; AW 0xE800: FEFE FEFE FEFE FEFE ; 2B84; CRC BAD;
57.782; R; CW 0xEC64; AW 0xE800: 0FF1 0D23 0137 0071 ; F2AF; CRC BAD;
57.876; R; CW 0xEC84; AW 0xE800: FEFE FEFE FEFE FEFE ; 2B84; CRC BAD;
57.970; R; CW 0xECA4; AW 0xE800: FEFE FEFE FEFE FEFE ; 2B84; CRC BAD;
58.077; R; CW 0xECC4; AW 0xE800: FEFE FEFE FEFE FEFE ; 2B84; CRC BAD;
58.170; R; CW 0xECE4; AW 0xE800: 0FF1 0D27 013F 0072 ; AF67; CRC BAD;
58.279; R; CW 0xED04; AW 0xE800: FEFE FEFE FEFE FEFE ; 2B84; CRC BAD;
58.370; R; CW 0xED24; AW 0xE800: FEFE FEFE FEFE FEFE ; 2B84; CRC BAD;
58.479; R; CW 0xED44; AW 0xE800: FEFE FEFE FEFE FEFE ; 2B84; CRC BAD;
58.571; R; CW 0xED64; AW 0xE800: FEFE FEFE FEFE FEFE ; 2B84; CRC BAD;
58.772; R; CW 0xED84; AW 0xE800: FEFE FEFE FEFE FEFE ; 2B84; CRC BAD;
58.880; R; CW 0xEDA4; AW 0xE800: FEFE FEFE FEFE FEFE ; 2B84; CRC BAD;
62.583; R; CW 0xEC24; AW 0xE800: 0FF1 0D21 0132 0070 ; CC6A; CRC BAD;
62.674; R; CW 0xEC44; AW 0xE800: FEFE FEFE FEFE FEFE ; 2B84; CRC BAD;
62.782; R; CW 0xEC64; AW 0xE800: FEFE FEFE FEFE FEFE ; 2B84; CRC BAD;
62.874; R; CW 0xEC84; AW 0xE800: FEFE FEFE FEFE FEFE ; 2B84; CRC BAD;
62.982; R; CW 0xECA4; AW 0xE800: FEFE FEFE FEFE FEFE ; 2B84; CRC BAD;
63.074; R; CW 0xECC4; AW 0xE800: FEFE FEFE FEFE FEFE ; 2B84; CRC BAD;
63.181; R; CW 0xECE4; AW 0xE800: 0FF1 0D27 013F 0072 ; AF67; CRC BAD;
63.273; R; CW 0xED04; AW 0xE800: 0FF1 0D28 0135 0071 ; 221C; CRC BAD;
63.380; R; CW 0xED24; AW 0xE800: FEFE FEFE FEFE FEFE ; 2B84; CRC BAD;
63.473; R; CW 0xED44; AW 0xE800: FEFE FEFE FEFE FEFE ; 2B84; CRC BAD;
63.582; R; CW 0xED64; AW 0xE800: 0FF1 0D2B 0136 0071 ; 4B2F; CRC BAD;
63.782; R; CW 0xED84; AW 0xE800: FEFE FEFE FEFE FEFE ; 2B84; CRC BAD;
63.874; R; CW 0xEDA4; AW 0xE800: 0FF1 0D2D 013E 0071 ; 7887; CRC BAD;
67.573; R; CW 0xEC24; AW 0xE800: 0FF1 0D21 0132 0070 ; CC6A; CRC BAD;
67.682; R; CW 0xEC44; AW 0xE800: FEFE FEFE FEFE FEFE ; 2B84; CRC BAD;
67.776; R; CW 0xEC64; AW 0xE800: 0FF1 0D23 0137 0071 ; F2AF; CRC BAD;
67.868; R; CW 0xEC84; AW 0xE800: FEFE FEFE FEFE FEFE ; 2B84; CRC BAD;
67.977; R; CW 0xECA4; AW 0xE800: FEFE FEFE FEFE FEFE ; 2B84; CRC BAD;
68.071; R; CW 0xECC4; AW 0xE800: FEFE FEFE FEFE FEFE ; 2B84; CRC BAD;
68.177; R; CW 0xECE4; AW 0xE800: 0FF1 0D27 013F 0072 ; AF67; CRC BAD;
68.270; R; CW 0xED04; AW 0xE800: 0FF1 0D28 0135 0071 ; 221C; CRC BAD;
68.379; R; CW 0xED24; AW 0xE800: FEFE FEFE FEFE FEFE ; 2B84; CRC BAD;
68.472; R; CW 0xED44; AW 0xE800: FEFE FEFE FEFE FEFE ; 2B84; CRC BAD;
68.580; R; CW 0xED64; AW 0xE800: 0FF1 0D2B 0136 0071 ; 4B2F; CRC BAD;
68.781; R; CW 0xED84; AW 0xE800: FEFE FEFE FEFE FEFE ; 2B84; CRC BAD;
68.873; R; CW 0xEDA4; AW 0xE800: FEFE FEFE FEFE FEFE ; 2B84; CRC BAD;
72.570; R; CW 0xEC24; AW 0xE800: 0FF1 0D21 0132 0070 ; CC6A; CRC BAD;
72.678; R; CW 0xEC44; AW 0xE800: FEFE FEFE FEFE FEFE ; 2B84; CRC BAD;
72.770; R; CW 0xEC64; AW 0xE800: FEFE FEFE FEFE FEFE ; 2B84; CRC BAD;
72.879; R; CW 0xEC84; AW 0xE800: 0FF1 0D24 013B 0071 ; B6B3; CRC BAD;
72.970; R; CW 0xECA4; AW 0xE800: FEFE FEFE FEFE FEFE ; 2B84; CRC BAD;
