1.703; W; CW 0xEA24; AW 0xFEFE: 0002 0000 0000 0000 
54.182; R; CW 0xED20; AW 0xE800: FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE ; 7968; CRC BAD;
54.213; R; CW 0xED40; AW 0xE800: 0FF1 0D2A 004F 009B 0000 0000 0000 0004 46BC 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0006 0000 0004 0000 0007 0000 FEFE FEFE EAC2 ; EAC2; CRC OK;
54.244; R; CW 0xED60; AW 0xE800: FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE ; 7968; CRC BAD;
54.274; R; CW 0xED80; AW 0xE800: 0FF1 0D2C 004C 009B 0000 0000 0000 0005 3DBC 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0003 0000 000B 0000 FEFE FEFE E375 ; E375; CRC OK;
54.305; R; CW 0xEDA0; AW 0xE800: FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE ; 7968; CRC BAD;
54.337; R; CW 0xEC20; AW 0xE800: FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE ; 7968; CRC BAD;
54.367; R; CW 0xEC40; AW 0xE800: 0FF1 0D22 004D 009B 0000 FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE E577 ; E577; CRC OK;
54.397; R; CW 0xEC60; AW 0xE800: 0FF1 0D23 0051 009B 0000 FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE CF2A ; CF2A; CRC OK;
54.429; R; CW 0xEC80; AW 0xE800: FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE ; 7968; CRC BAD;
54.461; R; CW 0xECA0; AW 0xE800: 0FF1 0D25 0047 009B 0000 0000 0001 0004 34BC 0000 0000 0000 0000 0001 0000 0003 0000 0008 0000 000A 0000 000C 0000 0088 0000 009D 0000 0471 0000 FEFE FEFE 3C65 ; 3C65; CRC OK;
54.491; R; CW 0xECC0; AW 0xE800: 0FF1 0D26 0053 009D 0000 0001 0001 0004 3DBC 0000 0000 0001 0000 0000 0000 0000 0000 0000 0000 0000 0000 0001 0000 0009 0000 005B 0000 027F 0000 FEFE FEFE 1E90 ; 1E90; CRC OK;
54.523; R; CW 0xECE0; AW 0xE800: FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE ; 7968; CRC BAD;
