21.305; W; CW 0xEA24; AW 0xE800: 0002 0000 0000 0000 
31.290; W; CW 0xEA24; AW 0xE800: 0001 0000 0000 003C 
32.255; R; CW 0xEC20; AW 0xE800: FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE ; 7968; CRC BAD;
42.966; R; CW 0xED00; AW 0xE800: 0FF1 0D28 015F 0002 0000 0000 0000 0004 34BC 0000 0000 0000 0000 0000 0000 0000 0000 0001 0000 0000 0000 0002 0000 000F 0000 0062 0000 0349 0000 FEFE FEFE 0E72 ; 0E72; CRC OK;
43.060; R; CW 0xED20; AW 0xE800: 0FF1 0D29 0163 0002 0000 0000 0000 0004 3DBC 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0001 0000 0005 0000 000A 0000 FEFE FEFE 0717 ; 0717; CRC OK;
43.169; R; CW 0xED40; AW 0xE800: 0FF1 0D2A 0167 0002 0000 0000 0000 0004 46BC 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0005 0000 0004 0000 0005 0000 FEFE FEFE 5851 ; 5851; CRC OK;
43.261; R; CW 0xED60; AW 0xE800: FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE ; 7968; CRC BAD;
43.461; R; CW 0xED80; AW 0xE800: 0FF1 0D2C 0164 0002 0000 0000 0000 0004 3DBC 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0001 0000 0003 0000 0006 0000 FEFE FEFE 5B34 ; 5B34; CRC OK;
43.554; R; CW 0xEDA0; AW 0xE800: FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE ; 7968; CRC BAD;
47.261; R; CW 0xEC20; AW 0xE800: FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE ; 7968; CRC BAD;
47.369; R; CW 0xEC40; AW 0xE800: FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE ; 7968; CRC BAD;
47.460; R; CW 0xEC60; AW 0xE800: 0FF1 0D23 016F 000C 0000 FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE 060C ; 060C; CRC OK;
47.569; R; CW 0xEC80; AW 0xE800: FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE ; 7968; CRC BAD;
