32.916; W; CW 0xB224; AW 0xB000: 0002 0000 0000 0000 
42.896; W; CW 0xB224; AW 0xB000: 0001 0000 0064 0000 
42.992; W; CW 0xB224; AW 0xB000: 0003 0000 000A 0000 
43.102; W; CW 0xB224; AW 0xB000: 0003 0001 000B 0000 
43.196; W; CW 0xB224; AW 0xB000: 0003 0002 003C 0000 
43.291; W; CW 0xB224; AW 0xB000: 0003 0003 000A 0000 
107.980; R; CW 0xB420; AW 0xB000: 0FF1 0D01 0003 0000 0082 0000 000A 0000 0005 0008 FB76 00E9 509F 0001 0010 0C34 35BD 01C2 03DB 0000 0078 000D 92F9 0000 0000 0000 0006 0029 4F8A 01B7 0008 38F0 ; 38F0; CRC OK;
108.092; R; CW 0xB440; AW 0xB000: 0FF1 0D02 0005 0000 008C 0000 001C 0000 006E 000D A3A4 0000 0000 0000 0006 01BD C72D 0A39 000C 0000 0082 000D B5BB 0000 0000 0000 0006 01F1 EA88 0A39 000B BFD0 ; BFD0; CRC OK;
108.185; R; CW 0xB460; AW 0xB000: 0FF1 0D03 FEFE 0000 0B79 FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE C701 ; C701; CRC OK;
108.281; R; CW 0xB480; AW 0xB000: 0FF1 0D04 0008 0000 00A1 002B 031C 001A 031C FFFF 031C 0025 031C FFFD 031C 002D 031C FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE 3200 000A 4E19 ; 4E19; CRC OK;
108.389; R; CW 0xB4A0; AW 0xB000: 0FF1 0D05 0000 0000 006F 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 27E1 ; 27E1; CRC OK;
112.885; R; CW 0xB5E0; AW 0xB000: 0FF1 0D0F 0008 0000 00A6 0153 003A 0024 0023 001F 001F 0088 2C00 0000 0008 0000 0000 0000 007F 000A 000B 0061 B101 0000 0002 4F03 0016 209B FF82 003C 000A 7196 ; 7196; CRC OK;
112.979; R; CW 0xB420; AW 0xB000: 0FF1 0D01 0003 0000 0082 0000 000A 0000 0005 0008 FB76 00E9 509F 0001 0010 0C34 35BD 01C2 03DB 0000 0078 000D 92F9 0000 0000 0000 0006 0029 4F8A 01B7 0008 38F0 ; 38F0; CRC OK;
113.088; R; CW 0xB440; AW 0xB000: 0FF1 0D02 0005 0000 008C 0000 001C 0000 006E 000D A3A4 0000 0000 0000 0006 01BD C72D 0A39 000C 0000 0082 000D B5BB 0000 0000 0000 0006 01F1 EA88 0A39 000B BFD0 ; BFD0; CRC OK;
113.183; R; CW 0xB460; AW 0xB000: 0FF1 0D03 FEFE 0000 0B79 FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE C701 ; C701; CRC OK;
113.278; R; CW 0xB480; AW 0xB000: 0FF1 0D04 0008 0000 00A1 002B 031C 001A 031C FFFF 031C 0025 031C FFFD 031C 002D 031C FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE 3200 000A 4E19 ; 4E19; CRC OK;
113.388; R; CW 0xB4A0; AW 0xB000: 0FF1 0D05 0000 0000 006F 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 27E1 ; 27E1; CRC OK;
117.881; R; CW 0xB5E0; AW 0xB000: 0FF1 0D0F 0008 0000 00A6 0153 003A 0024 0023 001F 001F 0088 2C00 0000 0008 0000 0000 0000 007F 000A 000B 0061 B101 0000 0002 4F03 0016 209B FF82 003C 000A 7196 ; 7196; CRC OK;
117.990; R; CW 0xB420; AW 0xB000: 0FF1 0D01 0009 0000 00AA 0000 000A 0000 008C 000D A4C6 0000 0000 0000 0005 0077 C569 01B7 0008 0000 00A0 000D B72A 0000 0000 0000 0006 00B6 A57C 01B7 0008 F0A3 ; F0A3; CRC OK;
